Celex	Celex	NNP
of	of	IN
each	each	DT
individual	individual	JJ
and	and	CC
in	in	JJ
awareness	awareness	NN
of	of	IN
their	their	PRP$
responsibilities	responsibility	NNS
towards	towards	IN
future	future	JJ
generations	generation	NNS
and	and	CC
the	the	DT
Earth	Earth	NNP
,	,	,
the	the	DT
great	great	JJ
venture	venture	NN
which	which	WDT
makes	make	VBZ
of	of	IN
it	it	PRP
a	a	DT
special	special	JJ
area	area	NN
of	of	IN
human	human	JJ
hope	hope	NN
,	,	,
DETERMINED	determine	NN
to	to	TO
continue	continue	VB
the	the	DT
work	work	NN
accomplished	accomplish	VBN
within	within	IN
the	the	DT
framework	framework	NN
of	of	IN
the	the	DT
Treaties	treaty	NNS
establishing	establish	VBG
the	the	DT
European	European	NNP
Communities	community	NNP
and	and	CC
the	the	DT
Treaty	Treaty	NN
on	on	IN
European	European	NNP
Union	Union	NNP
,	,	,
by	by	IN
ensuring	ensure	VBG
the	the	DT
continuity	continuity	NN
of	of	IN
the	the	DT
Community	Community	NNP
acquis	acquis	NNS
GRATEFUL	grateful	NN
to	to	TO
the	the	DT
members	member	NNS
of	of	IN
the	the	DT
European	European	JJ
Convention	convention	NN
for	for	IN
having	have	VBG
prepared	prepare	VBN
the	the	DT
draft	draft	NN
of	of	IN
this	this	DT
Constitution	Constitution	NNP
on	on	IN
behalf	behalf	NN
of	of	IN
the	the	DT
citizens	citizen	NNS
and	and	CC
States	state	NNP
of	of	IN
Europe	Europe	NNP
,	,	,
HAVE	have	NNP
DESIGNATED	designate	NNP
AS	as	NNP
THEIR	their	NNP
PLENIPOTENTIARIES	plenipotentiary	NNP
:	:	:
HIS	his	NNP
MAJESTY	majesty	NNP
THE	the	NNP
KING	kingbolt	NNP
OF	of	NNP
THE	the	NNP
BELGIANS	Belgian	NNP
,	,	,
Guy	Guy	NNP
VERHOFSTADT	Verhofstadt	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Karel	Karel	NNP
DE	de	NNP
GUCHT	GUCHT	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
CZECH	Czech	NNP
REPUBLIC	republic	NNP
,	,	,
Stanislav	Stanislav	NNP
GROSS	gross	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Cyril	Cyril	NNP
SVOBODA	Svoboda	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
HER	her	NNP
MAJESTY	majesty	NNP
THE	the	NNP
QUEEN	queen	NNP
OF	of	NNP
DENMARK	Denmark	NNP
,	,	,
Anders	Anders	NNP
Fogh	Fogh	NNP
RASMUSSEN	Rasmussen	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Per	per	NNP
Stig	Stig	NNP
MØLLER	MØLLER	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
FEDERAL	Federal	NNP
REPUBLIC	republic	NNP
OF	of	NNP
GERMANY	Germany	NNP
,	,	,
Gerhard	Gerhard	NNP
SCHRÖDER	SCHRÖDER	NNP
Federal	Federal	NNP
Chancellor	Chancellor	NNP
Joseph	Joseph	NNP
FISCHER	Fischer	NNP
Federal	Federal	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
and	and	CC
Deputy	Deputy	NNP
Federal	Federal	NNP
Chancellor	Chancellor	NNP
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
ESTONIA	Estonia	NNP
,	,	,
Juhan	Juhan	NNP
PARTS	part	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Kristiina	Kristiina	NNP
OJULAND	OJULAND	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
HELLENIC	Hellenic	NNP
REPUBLIC	republic	NNP
,	,	,
Kostas	Kostas	NNP
KARAMANLIS	Karamanlis	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Petros	Petros	NNP
G.	G.	NNP
MOLYVIATIS	MOLYVIATIS	NNP
Minister	Minister	NNP
of	of	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
HIS	his	NNP
MAJESTY	majesty	NNP
THE	the	NNP
KING	kingbolt	NNP
OF	of	NNP
SPAIN	Spain	NNP
,	,	,
José	José	NNP
Luis	Luis	NNP
RODRÍGUEZ	RODRÍGUEZ	NNP
ZAPATERO	Zapatero	NNP
President	president	NNP
of	of	IN
the	the	DT
Government	government	NNP
Miguel	Miguel	NNP
Angel	Angel	NNP
MORATINOS	MORATINOS	NNP
CUYAUBÉ	CUYAUBÉ	NNP
Minister	Minister	NNP
for	for	IN
External	External	NNP
Affairs	Affairs	NNPS
and	and	CC
Cooperation	Cooperation	NNP
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
FRENCH	French	NNP
REPUBLIC	republic	NNP
,	,	,
Jacques	Jacques	NNP
CHIRAC	CHIRAC	NNP
President	president	NNP
Jean-Pierre	Jean-Pierre	NNP
RAFFARIN	RAFFARIN	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Michel	Michel	NNP
BARNIER	BARNIER	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
IRELAND	Ireland	NNP
,	,	,
Bertie	Bertie	NNP
AHERN	Ahern	NNP
Taoiseach	Taoiseach	NNP
Dermot	Dermot	NNP
AHERN	Ahern	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
ITALIAN	Italian	NNP
REPUBLIC	republic	NNP
,	,	,
Silvio	Silvio	NNP
BERLUSCONI	Berlusconi	NNP
Prime	Prime	NNP
Minister	Minister	NNP
Franco	Franco	NNP
FRATTINI	Frattini	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
CYPRUS	cypress	NNP
,	,	,
Tassos	Tassos	NNP
PAPADOPOULOS	Papadopoulos	NNP
President	president	NNP
George	George	NNP
IACOVOU	IACOVOU	NNP
Minister	Minister	NNP
for	for	IN
Foreign	Foreign	NNP
Affairs	Affairs	NNPS
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
LATVIA	Latvia	NNP
,	,	,
